"view_history","rt","trial_type","trial_index","time_elapsed","internal_node_id","subject","stimulus","key_press","trial_stimulus","trial_stimulus_type","task_type","task_target_stimulus","task_background_stimulus","task_deviant_stimuli","task_order_number","blcok_order_number","trial_order_number","minimum_viewing_duration","trial_looking_time","trial_pressed_space_bar","responses","question_order"
"","861.7999999984168","stimulus-presentation","1616","2791917","0.0-34.0-1.48","SS1602373926146","","40","<img src='images/simple/12.png' width ='500' height = '600' style='border:5px solid black'>","background","all_simple","images/simple/110.png","images/simple/12.png","images/simple/62.png,images/simple/5.png,images/simple/89.png,images/simple/92.png,images/simple/41.png,images/simple/79.png,images/simple/112.png,images/simple/85.png,images/simple/55.png,images/simple/2.png,images/simple/83.png,images/simple/118.png,images/simple/18.png,images/simple/59.png,images/simple/53.png,images/simple/76.png,images/simple/95.png,images/simple/104.png,images/simple/63.png,images/simple/34.png,images/simple/90.png,images/simple/86.png,images/simple/73.png,images/simple/64.png,images/simple/93.png,images/simple/81.png,images/simple/56.png,images/simple/39.png,images/simple/70.png,images/simple/48.png,images/simple/1.png,images/simple/117.png,images/simple/19.png,images/simple/97.png,images/simple/16.png,images/simple/3.png,images/simple/115.png,images/simple/23.png","3","0","","600","1461.7999999984168","","",""
"","null","html-keyboard-response","1617","2793714","0.0-34.0-0.49","SS1602373926146","<img src=images/blank.png width =""500"" height = ""600"" style=""border:5px solid black"">","null","","","","","","","","","","","","","",""
"","680.5000000023283","stimulus-presentation","1618","2795693","0.0-34.0-1.49","SS1602373926146","","40","<img src='images/simple/12.png' width ='500' height = '600' style='border:5px solid black'>","background","all_simple","images/simple/110.png","images/simple/12.png","images/simple/62.png,images/simple/5.png,images/simple/89.png,images/simple/92.png,images/simple/41.png,images/simple/79.png,images/simple/112.png,images/simple/85.png,images/simple/55.png,images/simple/2.png,images/simple/83.png,images/simple/118.png,images/simple/18.png,images/simple/59.png,images/simple/53.png,images/simple/76.png,images/simple/95.png,images/simple/104.png,images/simple/63.png,images/simple/34.png,images/simple/90.png,images/simple/86.png,images/simple/73.png,images/simple/64.png,images/simple/93.png,images/simple/81.png,images/simple/56.png,images/simple/39.png,images/simple/70.png,images/simple/48.png,images/simple/1.png,images/simple/117.png,images/simple/19.png,images/simple/97.png,images/simple/16.png,images/simple/3.png,images/simple/115.png,images/simple/23.png","3","0","","600","1280.5000000023283","","",""
"","null","html-keyboard-response","1619","2797386","0.0-35.0","SS1602373926146","here's the 1 break block!","null","","","","","","","","","","","","","",""
"","null","html-keyboard-response","1620","2798926","0.0-36.0-0.0","SS1602373926146","<img src=images/blank.png width =""500"" height = ""600"" style=""border:5px solid black"">","null","","","","","","","","","","","","","",""
"","147.88499999884516","stimulus-presentation","1621","2800446","0.0-36.0-1.0","SS1602373926146","","40","<img src='images/simple/110.png' width ='500' height = '600' style='border:5px solid black'>","target","all_simple","images/simple/110.png","images/simple/12.png","images/simple/62.png,images/simple/5.png,images/simple/89.png,images/simple/92.png,images/simple/41.png,images/simple/79.png,images/simple/112.png,images/simple/85.png,images/simple/55.png,images/simple/2.png,images/simple/83.png,images/simple/118.png,images/simple/18.png,images/simple/59.png,images/simple/53.png,images/simple/76.png,images/simple/95.png,images/simple/104.png,images/simple/63.png,images/simple/34.png,images/simple/90.png,images/simple/86.png,images/simple/73.png,images/simple/64.png,images/simple/93.png,images/simple/81.png,images/simple/56.png,images/simple/39.png,images/simple/70.png,images/simple/48.png,images/simple/1.png,images/simple/117.png,images/simple/19.png,images/simple/97.png,images/simple/16.png,images/simple/3.png,images/simple/115.png,images/simple/23.png","3","1","","600","747.8849999988452","","",""
"","null","html-keyboard-response","1622","2802170","0.0-36.0-0.1","SS1602373926146","<img src=images/blank.png width =""500"" height = ""600"" style=""border:5px solid black"">","null","","","","","","","","","","","","","",""
"","172.3949999869801","stimulus-presentation","1623","2803662","0.0-36.0-1.1","SS1602373926146","","40","<img src='images/simple/5.png' width ='500' height = '600' style='border:5px solid black'>","deviant","all_simple","images/simple/110.png","images/simple/12.png","images/simple/62.png,images/simple/5.png,images/simple/89.png,images/simple/92.png,images/simple/41.png,images/simple/79.png,images/simple/112.png,images/simple/85.png,images/simple/55.png,images/simple/2.png,images/simple/83.png,images/simple/118.png,images/simple/18.png,images/simple/59.png,images/simple/53.png,images/simple/76.png,images/simple/95.png,images/simple/104.png,images/simple/63.png,images/simple/34.png,images/simple/90.png,images/simple/86.png,images/simple/73.png,images/simple/64.png,images/simple/93.png,images/simple/81.png,images/simple/56.png,images/simple/39.png,images/simple/70.png,images/simple/48.png,images/simple/1.png,images/simple/117.png,images/simple/19.png,images/simple/97.png,images/simple/16.png,images/simple/3.png,images/simple/115.png,images/simple/23.png","3","1","","600","772.3949999869801","","",""
"","null","html-keyboard-response","1624","2805670","0.0-36.0-0.2","SS1602373926146","<img src=images/blank.png width =""500"" height = ""600"" style=""border:5px solid black"">","null","","","","","","","","","","","","","",""
"","534.14000000339","stimulus-presentation","1625","2807533","0.0-36.0-1.2","SS1602373926146","","40","<img src='images/simple/12.png' width ='500' height = '600' style='border:5px solid black'>","background","all_simple","images/simple/110.png","images/simple/12.png","images/simple/62.png,images/simple/5.png,images/simple/89.png,images/simple/92.png,images/simple/41.png,images/simple/79.png,images/simple/112.png,images/simple/85.png,images/simple/55.png,images/simple/2.png,images/simple/83.png,images/simple/118.png,images/simple/18.png,images/simple/59.png,images/simple/53.png,images/simple/76.png,images/simple/95.png,images/simple/104.png,images/simple/63.png,images/simple/34.png,images/simple/90.png,images/simple/86.png,images/simple/73.png,images/simple/64.png,images/simple/93.png,images/simple/81.png,images/simple/56.png,images/simple/39.png,images/simple/70.png,images/simple/48.png,images/simple/1.png,images/simple/117.png,images/simple/19.png,images/simple/97.png,images/simple/16.png,images/simple/3.png,images/simple/115.png,images/simple/23.png","3","1","","600","1134.14000000339","","",""
"","null","html-keyboard-response","1626","2809354","0.0-36.0-0.3","SS1602373926146","<img src=images/blank.png width =""500"" height = ""600"" style=""border:5px solid black"">","null","","","","","","","","","","","","","",""
"","536.4899999983609","stimulus-presentation","1627","2811213","0.0-36.0-1.3","SS1602373926146","","40","<img src='images/simple/12.png' width ='500' height = '600' style='border:5px solid black'>","background","all_simple","images/simple/110.png","images/simple/12.png","images/simple/62.png,images/simple/5.png,images/simple/89.png,images/simple/92.png,images/simple/41.png,images/simple/79.png,images/simple/112.png,images/simple/85.png,images/simple/55.png,images/simple/2.png,images/simple/83.png,images/simple/118.png,images/simple/18.png,images/simple/59.png,images/simple/53.png,images/simple/76.png,images/simple/95.png,images/simple/104.png,images/simple/63.png,images/simple/34.png,images/simple/90.png,images/simple/86.png,images/simple/73.png,images/simple/64.png,images/simple/93.png,images/simple/81.png,images/simple/56.png,images/simple/39.png,images/simple/70.png,images/simple/48.png,images/simple/1.png,images/simple/117.png,images/simple/19.png,images/simple/97.png,images/simple/16.png,images/simple/3.png,images/simple/115.png,images/simple/23.png","3","1","","600","1136.4899999983609","","",""
"","null","html-keyboard-response","1628","2813039","0.0-36.0-0.4","SS1602373926146","<img src=images/blank.png width =""500"" height = ""600"" style=""border:5px solid black"">","null","","","","","","","","","","","","","",""
"","593.3450000006706","stimulus-presentation","1629","2814945","0.0-36.0-1.4","SS1602373926146","","40","<img src='images/simple/12.png' width ='500' height = '600' style='border:5px solid black'>","background","all_simple","images/simple/110.png","images/simple/12.png","images/simple/62.png,images/simple/5.png,images/simple/89.png,images/simple/92.png,images/simple/41.png,images/simple/79.png,images/simple/112.png,images/simple/85.png,images/simple/55.png,images/simple/2.png,images/simple/83.png,images/simple/118.png,images/simple/18.png,images/simple/59.png,images/simple/53.png,images/simple/76.png,images/simple/95.png,images/simple/104.png,images/simple/63.png,images/simple/34.png,images/simple/90.png,images/simple/86.png,images/simple/73.png,images/simple/64.png,images/simple/93.png,images/simple/81.png,images/simple/56.png,images/simple/39.png,images/simple/70.png,images/simple/48.png,images/simple/1.png,images/simple/117.png,images/simple/19.png,images/simple/97.png,images/simple/16.png,images/simple/3.png,images/simple/115.png,images/simple/23.png","3","1","","600","1193.3450000006706","","",""
"","null","html-keyboard-response","1630","2816548","0.0-36.0-0.5","SS1602373926146","<img src=images/blank.png width =""500"" height = ""600"" style=""border:5px solid black"">","null","","","","","","","","","","","","","",""
"","131.94000000646338","stimulus-presentation","1631","2817982","0.0-36.0-1.5","SS1602373926146","","40","<img src='images/simple/12.png' width ='500' height = '600' style='border:5px solid black'>","background","all_simple","images/simple/110.png","images/simple/12.png","images/simple/62.png,images/simple/5.png,images/simple/89.png,images/simple/92.png,images/simple/41.png,images/simple/79.png,images/simple/112.png,images/simple/85.png,images/simple/55.png,images/simple/2.png,images/simple/83.png,images/simple/118.png,images/simple/18.png,images/simple/59.png,images/simple/53.png,images/simple/76.png,images/simple/95.png,images/simple/104.png,images/simple/63.png,images/simple/34.png,images/simple/90.png,images/simple/86.png,images/simple/73.png,images/simple/64.png,images/simple/93.png,images/simple/81.png,images/simple/56.png,images/simple/39.png,images/simple/70.png,images/simple/48.png,images/simple/1.png,images/simple/117.png,images/simple/19.png,images/simple/97.png,images/simple/16.png,images/simple/3.png,images/simple/115.png,images/simple/23.png","3","1","","600","731.9400000064634","","",""
"","null","html-keyboard-response","1632","2819914","0.0-36.0-0.6","SS1602373926146","<img src=images/blank.png width =""500"" height = ""600"" style=""border:5px solid black"">","null","","","","","","","","","","","","","",""
"","206.2349999905564","stimulus-presentation","1633","2821422","0.0-36.0-1.6","SS1602373926146","","40","<img src='images/simple/110.png' width ='500' height = '600' style='border:5px solid black'>","target","all_simple","images/simple/110.png","images/simple/12.png","images/simple/62.png,images/simple/5.png,images/simple/89.png,images/simple/92.png,images/simple/41.png,images/simple/79.png,images/simple/112.png,images/simple/85.png,images/simple/55.png,images/simple/2.png,images/simple/83.png,images/simple/118.png,images/simple/18.png,images/simple/59.png,images/simple/53.png,images/simple/76.png,images/simple/95.png,images/simple/104.png,images/simple/63.png,images/simple/34.png,images/simple/90.png,images/simple/86.png,images/simple/73.png,images/simple/64.png,images/simple/93.png,images/simple/81.png,images/simple/56.png,images/simple/39.png,images/simple/70.png,images/simple/48.png,images/simple/1.png,images/simple/117.png,images/simple/19.png,images/simple/97.png,images/simple/16.png,images/simple/3.png,images/simple/115.png,images/simple/23.png","3","1","","600","806.2349999905564","","",""
"","null","html-keyboard-response","1634","2823126","0.0-36.0-0.7","SS1602373926146","<img src=images/blank.png width =""500"" height = ""600"" style=""border:5px solid black"">","null","","","","","","","","","","","","","",""
"","1112.3049999880604","stimulus-presentation","1635","2825557","0.0-36.0-1.7","SS1602373926146","","40","<img src='images/simple/93.png' width ='500' height = '600' style='border:5px solid black'>","deviant","all_simple","images/simple/110.png","images/simple/12.png","images/simple/62.png,images/simple/5.png,images/simple/89.png,images/simple/92.png,images/simple/41.png,images/simple/79.png,images/simple/112.png,images/simple/85.png,images/simple/55.png,images/simple/2.png,images/simple/83.png,images/simple/118.png,images/simple/18.png,images/simple/59.png,images/simple/53.png,images/simple/76.png,images/simple/95.png,images/simple/104.png,images/simple/63.png,images/simple/34.png,images/simple/90.png,images/simple/86.png,images/simple/73.png,images/simple/64.png,images/simple/93.png,images/simple/81.png,images/simple/56.png,images/simple/39.png,images/simple/70.png,images/simple/48.png,images/simple/1.png,images/simple/117.png,images/simple/19.png,images/simple/97.png,images/simple/16.png,images/simple/3.png,images/simple/115.png,images/simple/23.png","3","1","","600","1712.3049999880604","","",""
"","null","html-keyboard-response","1636","2827519","0.0-36.0-0.8","SS1602373926146","<img src=images/blank.png width =""500"" height = ""600"" style=""border:5px solid black"">","null","","","","","","","","","","","","","",""
"","2353.499999997206","stimulus-presentation","1637","2831174","0.0-36.0-1.8","SS1602373926146","","40","<img src='images/simple/12.png' width ='500' height = '600' style='border:5px solid black'>","background","all_simple","images/simple/110.png","images/simple/12.png","images/simple/62.png,images/simple/5.png,images/simple/89.png,images/simple/92.png,images/simple/41.png,images/simple/79.png,images/simple/112.png,images/simple/85.png,images/simple/55.png,images/simple/2.png,images/simple/83.png,images/simple/118.png,images/simple/18.png,images/simple/59.png,images/simple/53.png,images/simple/76.png,images/simple/95.png,images/simple/104.png,images/simple/63.png,images/simple/34.png,images/simple/90.png,images/simple/86.png,images/simple/73.png,images/simple/64.png,images/simple/93.png,images/simple/81.png,images/simple/56.png,images/simple/39.png,images/simple/70.png,images/simple/48.png,images/simple/1.png,images/simple/117.png,images/simple/19.png,images/simple/97.png,images/simple/16.png,images/simple/3.png,images/simple/115.png,images/simple/23.png","3","1","","600","2953.499999997206","","",""
"","null","html-keyboard-response","1638","2832842","0.0-36.0-0.9","SS1602373926146","<img src=images/blank.png width =""500"" height = ""600"" style=""border:5px solid black"">","null","","","","","","","","","","","","","",""
"","1125.4199999966659","stimulus-presentation","1639","2835274","0.0-36.0-1.9","SS1602373926146","","40","<img src='images/simple/12.png' width ='500' height = '600' style='border:5px solid black'>","background","all_simple","images/simple/110.png","images/simple/12.png","images/simple/62.png,images/simple/5.png,images/simple/89.png,images/simple/92.png,images/simple/41.png,images/simple/79.png,images/simple/112.png,images/simple/85.png,images/simple/55.png,images/simple/2.png,images/simple/83.png,images/simple/118.png,images/simple/18.png,images/simple/59.png,images/simple/53.png,images/simple/76.png,images/simple/95.png,images/simple/104.png,images/simple/63.png,images/simple/34.png,images/simple/90.png,images/simple/86.png,images/simple/73.png,images/simple/64.png,images/simple/93.png,images/simple/81.png,images/simple/56.png,images/simple/39.png,images/simple/70.png,images/simple/48.png,images/simple/1.png,images/simple/117.png,images/simple/19.png,images/simple/97.png,images/simple/16.png,images/simple/3.png,images/simple/115.png,images/simple/23.png","3","1","","600","1725.4199999966659","","",""
